step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
29,-0.070008,0.125,0.0014155,3.5847,-0.068609,188.25,0.001208,0.0012698,1.702e-08,1158.3,0.27344,-0.070008,986.4,0.00012682,0.0,1.9201e-12,0.0,0.07842,44.855,1223.0,-0.0014155,-24.589,0.99999,0.0,0.99979,0.0,0.26562,
30,-0.074339,0.125,0.0013194,3.1316,-0.073019,205.62,0.0011776,0.0012464,2.8199e-09,1187.5,0.22656,-0.074339,1194.1,6.5573e-05,0.0,9.4849e-13,0.0,0.082105,44.198,1185.6,-0.0013194,-24.461,1.0,0.0,0.99986,0.0,0.83333,
31,-0.070032,0.125,0.0013424,3.1598,-0.068689,183.75,0.0012964,0.0014745,-3.2034e-09,1188.5,0.36719,-0.070032,1123.7,4.9986e-05,0.0,4.6346e-13,0.0,0.077524,44.775,1226.1,-0.0013424,-24.576,1.0,0.0,0.99995,0.0,0.23664,
32,-0.079667,0.125,0.0014606,3.2112,-0.078206,201.44,0.0013206,0.0013528,6.8816e-09,1219.2,0.22656,-0.079667,1160.2,8.1943e-05,0.0,0.0,0.0,0.088818,44.416,1236.4,-0.0014606,-24.4,1.0,0.0,0.99986,0.0,0.34646,
33,-0.070918,0.10938,0.0013626,3.1442,-0.069555,175.75,0.0012068,0.0012445,6.9617e-09,1175.3,0.34375,-0.070918,1123.1,-4.2506e-05,0.0,-1.3976e-12,0.0,0.079387,44.892,1202.7,-0.0013626,-24.694,1.0,0.0,0.99984,0.0,0.1746,
34,-0.07705,0.125,0.0015567,3.1526,-0.075507,185.94,0.0013225,0.0013675,-2.2541e-08,1188.1,0.19531,-0.077043,1125.4,-6.0053e-05,0.0,9.2929e-13,0.0,0.08638,44.338,1203.3,-0.0015567,-24.75,0.99999,0.0,0.99977,0.0,0.3012,
35,-0.081081,0.10156,0.0014956,3.2147,-0.079586,208.31,0.0012789,0.0013101,-2.7505e-08,1222.5,0.26562,-0.081081,1210.1,-0.00018453,0.0,2.7549e-12,0.0,0.09169,44.288,1227.0,-0.0014956,-24.4,1.0,0.0,0.99978,0.0,0.29688,
36,-0.072497,0.125,0.0015682,3.0699,-0.070929,174.5,0.0012875,0.0013406,1.8979e-09,1116.7,0.41406,-0.072497,1041.7,-9.4796e-05,0.0,-2.9654e-12,0.0,0.080185,44.289,1169.7,-0.0015682,-24.45,1.0,0.0,0.99972,0.0,0.18182,
37,-0.087426,0.125,0.0011867,3.1654,-0.086239,175.25,0.0014098,0.0014493,1.249e-08,1196.5,0.17188,-0.087426,1175.8,-7.0508e-05,0.0,9.1192e-13,0.0,0.097243,44.175,1200.8,-0.0011867,-24.715,1.0,0.0,1.0002,0.0,0.22727,
38,-0.08336,0.125,0.0014393,3.1705,-0.081921,180.0,0.0013307,0.0013552,1.4015e-09,1200.7,0.20312,-0.08336,1175.8,4.005e-05,0.0,1.8249e-12,0.0,0.092802,44.381,1207.0,-0.0014393,-24.718,1.0,0.0,0.99989,0.0,0.38686,
39,-0.073049,0.125,0.0011952,3.1588,-0.071853,188.5,0.0012041,0.0012461,-2.4312e-08,1198.6,0.36719,-0.073049,1158.4,-7.8668e-05,0.0,0.0,0.0,0.083261,44.476,1221.9,-0.0011952,-24.595,1.0,0.0,1.0,0.0,0.50382,
40,-0.071099,0.125,0.0012063,3.1046,-0.069906,182.56,0.0012557,0.0012948,6.8514e-09,1156.9,0.47656,-0.071095,1114.4,5.7424e-06,0.0,4.7792e-12,0.0,0.078615,44.942,1195.6,-0.0012063,-24.715,0.99999,0.0,1.0,0.0,0.24138,
41,-0.075898,0.125,0.0014748,3.1065,-0.074424,208.19,0.0014008,0.0014401,-5.4976e-09,1166.4,0.30469,-0.075898,975.23,7.6997e-05,0.0,2.4298e-12,0.0,0.084191,44.25,1250.2,-0.0014748,-24.172,1.0,0.0,0.99993,0.0,0.23776,
42,-0.083936,0.125,0.0015992,3.3412,-0.082336,271.75,0.0013347,0.0013669,-1.7937e-08,1281.9,0.19531,-0.083936,1188.1,-8.492e-05,0.0,9.2195e-13,0.0,0.093785,43.254,1304.7,-0.0015992,-24.053,1.0,0.0,0.99974,0.0,0.45536,
43,-0.070958,0.070312,0.0012811,3.0901,-0.069677,174.88,0.0012473,0.0012831,-5.8973e-10,1135.1,0.47656,-0.070958,1079.0,-0.0001203,0.0,1.4549e-12,0.0,0.079971,44.644,1186.1,-0.0012811,-24.971,1.0,0.0,0.99997,0.0,0.39474,
44,-0.079679,0.125,0.0016108,3.2161,-0.078068,206.81,0.0013456,0.0014219,-1.046e-08,1221.1,0.23438,-0.079679,1138.3,3.1455e-05,0.0,-5.5092e-12,0.0,0.088012,44.203,1246.5,-0.0016108,-24.885,1.0,0.0,0.99973,0.0,0.51799,
45,-0.066421,0.11719,0.0014273,3.0476,-0.065007,195.5,0.0012848,0.0013387,-2.9913e-08,1120.1,0.57812,-0.066413,1065.0,0.00012027,0.0,4.0292e-12,0.0,0.074451,44.614,1195.5,-0.0014273,-24.464,0.99999,0.0,0.99986,0.0,0.4881,
46,-0.083338,0.125,0.0015451,3.1648,-0.081793,168.81,0.0014875,0.0016295,1.9121e-08,1049.7,0.47656,-0.083338,926.36,2.2831e-05,0.0,0.0,0.0,0.091926,43.866,1162.0,-0.0015451,-24.332,1.0,0.0,0.99994,0.0,0.5,
47,-0.078855,0.125,0.0013725,3.1073,-0.077482,194.81,0.0013533,0.0013934,3.498e-09,1149.0,0.42188,-0.078855,1054.2,-9.02e-05,0.0,0.0,0.0,0.086926,44.388,1218.3,-0.0013725,-24.292,1.0,0.0,0.99998,0.0,0.35714,
