step,sft/loss/avg,sft/ppl/avg,timeperf/train_step,sft/vocab_min_logits/avg,sft/vocab_max_logits/avg
201,0.091581,1.0932,0.13531,-23.714,43.223
202,0.10921,1.1103,0.14529,-23.252,43.312
203,0.12292,1.1196,0.14129,-23.477,43.79
204,0.10345,1.1048,0.13518,-23.791,43.501
205,0.127,1.1205,0.13885,-23.267,43.361
206,0.1154,1.1082,0.13291,-23.428,42.892
207,0.13764,1.1347,0.14246,-23.234,43.598
208,0.11839,1.1166,0.13984,-23.51,42.967
209,0.12599,1.1243,0.14854,-23.906,43.973
210,0.12411,1.1262,0.14298,-23.541,43.432
211,0.11971,1.1226,0.14511,-24.077,43.563
212,0.11009,1.1085,0.14449,-24.007,43.729
213,0.12413,1.1184,0.14555,-23.781,43.045
214,0.12104,1.1181,0.14319,-23.708,43.584
215,0.11724,1.122,0.14304,-23.39,42.996
216,0.13183,1.1401,0.1414,-23.169,42.662
217,0.12724,1.1251,0.14555,-22.971,42.583
218,0.10718,1.1062,0.14428,-23.364,43.865
219,0.11527,1.1188,0.14587,-23.496,43.288
220,0.089693,1.0901,0.1313,-23.566,43.421
221,0.14389,1.1445,0.13554,-23.302,42.526
222,0.16703,1.1705,0.14306,-23.5,42.21
223,0.1058,1.1045,0.13566,-23.607,43.218
224,0.10763,1.11,0.1346,-23.048,43.238
225,0.12738,1.135,0.14946,-23.649,44.039
226,0.096066,1.094,0.13444,-23.08,42.422
227,0.10705,1.1067,0.1343,-23.513,42.878
228,0.13044,1.131,0.13957,-23.89,42.76
229,0.13253,1.1362,0.14396,-23.296,43.537
230,0.11925,1.1274,0.14391,-23.503,42.874
231,0.11454,1.1118,0.14771,-23.041,42.772
232,0.12526,1.1271,0.1432,-23.7,43.169
233,0.12963,1.1329,0.15311,-23.682,43.547
234,0.15974,1.159,0.80476,-23.03,42.14
235,0.12979,1.1312,0.14673,-23.584,43.205
236,0.12878,1.1268,0.13874,-23.416,42.686
237,0.11136,1.1238,0.1357,-23.336,43.006
238,0.11917,1.1317,0.14275,-23.704,43.03
239,0.11549,1.12,0.15299,-23.95,43.837
240,0.13142,1.1384,0.14663,-23.396,43.466
241,0.14069,1.1506,0.1445,-23.468,42.385
242,0.12693,1.1311,0.14958,-23.766,43.078
243,0.11948,1.1247,0.14449,-23.398,42.519
244,0.11351,1.1193,0.1428,-23.355,42.636
245,0.11342,1.1162,0.14351,-23.766,43.607
246,0.1302,1.1515,0.14607,-23.455,43.321
247,0.1225,1.1198,0.14453,-23.535,42.659
248,0.1424,1.1492,0.15487,-23.109,42.802
249,0.10836,1.1142,0.13966,-23.197,42.874
250,0.1222,1.1257,0.15502,-24.25,43.827
251,0.11026,1.1092,0.14072,-23.323,42.83
252,0.14047,1.1442,0.14467,-23.617,42.93
