step,sft/loss/avg,sft/ppl/avg,timeperf/train_step,sft/vocab_min_logits/avg,sft/vocab_max_logits/avg
249,0.12137,1.1133,0.14351,-22.939,43.15
250,0.12002,1.114,0.13137,-23.009,42.255
251,0.10518,1.104,0.15271,-23.249,43.181
252,0.11197,1.1173,0.1444,-23.456,43.417
253,0.10721,1.1121,0.13559,-22.659,43.167
254,0.087869,1.0862,0.13421,-22.875,42.738
255,0.10275,1.1074,0.13462,-22.77,43.195
256,0.13763,1.1407,0.13531,-22.939,42.688
257,0.14846,1.1405,0.14152,-22.589,41.793
258,0.11996,1.1101,0.13739,-22.799,42.885
259,0.11831,1.1122,0.13941,-23.166,43.736
260,0.11077,1.1076,0.13445,-22.729,42.599
261,0.11856,1.116,0.14476,-23.509,43.515
262,0.10676,1.1043,0.13961,-23.342,42.803
263,0.10636,1.1033,0.13646,-23.251,44.118
264,0.12877,1.1251,0.14192,-23.431,42.592
265,0.10686,1.0999,0.12966,-22.928,42.105
266,0.14365,1.1379,0.14891,-23.228,43.091
267,0.15557,1.155,0.14883,-22.906,42.796
268,0.12998,1.1234,0.13388,-22.762,42.51
269,0.11122,1.1101,0.14176,-23.484,43.006
270,0.10056,1.0987,0.13535,-23.445,43.67
271,0.11416,1.108,0.12901,-22.402,42.344
272,0.11102,1.1135,0.13248,-23.012,42.289
273,0.12635,1.1231,0.14371,-23.175,42.805
274,0.12168,1.1078,0.13067,-22.974,42.638
275,0.12423,1.1155,0.13493,-23.05,42.228
276,0.11424,1.1018,0.13536,-23.509,43.195
277,0.12841,1.1173,0.13692,-23.025,42.636
278,0.11959,1.1217,0.14219,-23.196,43.31
279,0.11388,1.1092,0.13483,-22.951,42.627
280,0.12982,1.1256,0.13707,-23.036,42.473
281,0.10314,1.1016,0.13079,-22.816,42.407
282,0.11448,1.1113,0.13997,-22.261,42.347
283,0.13483,1.1285,0.14571,-23.36,43.379
284,0.13582,1.1348,0.1475,-23.8,43.364
285,0.13657,1.1401,0.13576,-23.313,42.695
286,0.096831,1.0977,0.13402,-22.843,43.053
287,0.12487,1.1202,0.14373,-22.677,42.222
288,0.12195,1.1234,0.14842,-23.398,43.204
289,0.086767,1.0839,0.12718,-23.215,42.636
290,0.13618,1.1227,0.14187,-23.222,42.645
291,0.12645,1.1184,0.1421,-23.188,42.613
292,0.13345,1.1296,0.14436,-23.484,43.583
293,0.10218,1.1039,0.13786,-23.193,43.507
294,0.11685,1.1084,0.13588,-22.918,42.884
295,0.084959,1.0861,0.13722,-23.13,43.222
296,0.11789,1.1221,0.14306,-23.58,43.255
297,0.10147,1.096,0.13997,-23.492,44.657
298,0.091358,1.0883,0.12675,-22.708,42.803
299,0.1165,1.1246,0.1425,-23.238,42.835
300,0.12063,1.1128,0.14308,-23.572,43.469
