step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
29,-0.072599,0.125,0.0014706,3.0817,-0.071128,188.25,0.0012393,0.001285,-7.8193e-09,1164.0,0.28906,-0.072599,1015.6,0.00013827,0.0,-1.909e-12,0.0,0.08169,44.654,1224.3,-0.0014706,-24.553,1.0,0.0,0.99977,0.0,1.0,
30,-0.077499,0.125,0.0012135,3.1911,-0.076286,205.62,0.0011577,0.0012035,-1.1505e-08,1194.8,0.1875,-0.077499,1193.8,2.8871e-05,0.0,-3.7662e-12,0.0,0.086767,43.931,1195.0,-0.0012135,-24.399,1.0,0.0,0.99994,0.0,0.31967,
31,-0.072013,0.125,0.001312,3.165,-0.070715,183.75,0.0011899,0.0012174,-5.5793e-09,1190.6,0.35156,-0.072004,1127.3,0.00022206,0.0,1.8499e-12,0.0,0.080666,44.538,1225.0,-0.001312,-24.519,0.99999,0.0,0.99988,0.0,0.31474,
32,-0.081112,0.125,0.0015328,3.2131,-0.079579,201.44,0.0012444,0.0012868,3.5133e-09,1219.4,0.27344,-0.081112,1163.7,-5.0817e-06,0.0,-2.2873e-12,0.0,0.091728,44.166,1240.3,-0.0015328,-24.395,1.0,0.0,0.99971,0.0,0.35714,
33,-0.072864,0.125,0.0013182,3.1604,-0.071546,175.75,0.0011725,0.0012157,2.3874e-09,1174.4,0.38281,-0.072864,1118.5,-0.00024868,0.0,-2.7977e-12,0.0,0.081338,44.534,1209.1,-0.0013182,-24.731,1.0,0.0,0.99985,0.0,0.26016,
34,-0.080618,0.125,0.0014699,3.1828,-0.079148,191.5,0.0012538,0.0012902,-6.4774e-09,1203.7,0.25,-0.080618,1165.2,0.00013223,0.0,3.6803e-12,0.0,0.090174,44.054,1216.6,-0.0014699,-24.706,1.0,0.0,0.99978,0.0,0.29932,
35,-0.080601,0.125,0.0012691,3.1704,-0.079332,198.0,0.0012473,0.0012663,2.5456e-08,1209.5,0.25,-0.080601,1199.8,0.00019429,0.0,3.6829e-12,0.0,0.091322,44.087,1212.8,-0.0012691,-24.521,1.0,0.0,0.99998,0.0,0.35514,
36,-0.082158,0.125,0.0016864,3.1504,-0.080472,184.0,0.0012392,0.0012773,-3.466e-09,1147.0,0.375,-0.082158,1077.1,4.8834e-05,0.0,5.8025e-12,0.0,0.090972,43.806,1189.0,-0.0016864,-24.396,1.0,0.0,0.99955,0.0,0.19008,
37,-0.087551,0.125,0.0015093,3.1384,-0.086042,170.5,0.001407,0.0017374,-1.0023e-09,1181.5,0.23438,-0.087551,1123.1,-9.1306e-05,0.0,2.7636e-12,0.0,0.098537,44.219,1199.3,-0.0015093,-24.542,1.0,0.0,0.9999,0.0,0.18182,
38,-0.086026,0.125,0.0013349,3.1688,-0.084691,180.0,0.0013597,0.0013864,9.9082e-09,1202.7,0.15625,-0.086026,1183.4,0.00015022,0.0,-2.732e-12,0.0,0.096519,44.192,1206.2,-0.0013349,-24.631,1.0,0.0,1.0,0.0,0.37681,
