step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
38,-0.13713,0.019531,0.0033431,3.0688,-0.13379,150.28,0.0028728,0.0030847,7.469e-09,409.64,0.65547,-0.13713,367.33,6.2773e-05,0.0,8.9771e-12,0.0,0.15615,26.683,668.19,-0.0033431,-16.304,1.0,0.0,0.99953,0.0,0.60625,
39,-0.12567,0.027344,0.0034287,2.9105,-0.12224,156.03,0.003474,0.0037505,4.9046e-09,374.78,0.81523,-0.12567,365.14,-0.00013667,0.0,6.3862e-12,0.0,0.14258,26.464,673.75,-0.0034287,-16.268,1.0,0.0,1.0,0.0,0.60703,
40,-0.1709,0.015625,0.0043178,3.55,-0.16658,198.88,0.0031889,0.0033992,1.304e-08,454.85,0.60625,-0.1709,413.82,0.0002893,0.0,1.8192e-11,0.0,0.19443,26.195,722.79,-0.0043178,-16.017,1.0,0.0,0.99887,0.0,0.69844,
41,-0.16327,0.035156,0.0041513,3.2703,-0.15912,169.88,0.0032584,0.0035144,-5.1912e-09,445.44,0.60703,-0.16327,404.14,-0.00052984,0.0,6.7593e-12,0.0,0.18507,26.212,756.57,-0.0041513,-15.958,1.0,0.0,0.99911,0.0,0.62617,
42,-0.15943,0.011719,0.0050694,2.9968,-0.15436,159.19,0.0036827,0.0038323,7.4537e-09,399.09,0.69844,-0.15943,378.16,-0.00069056,0.0,0.0,0.0,0.1789,26.312,675.78,-0.0050694,-16.135,1.0,0.0,0.99861,0.0,0.60703,
43,-0.15632,0.015625,0.0046543,3.041,-0.15166,158.84,0.0042443,0.0043244,-1.711e-08,402.7,0.62617,-0.15632,377.62,-0.00033856,0.0,1.3367e-11,0.0,0.17758,26.165,698.6,-0.0046543,-16.009,1.0,0.0,0.99959,0.0,0.69453,
44,-0.17439,0.023438,0.0061174,3.3488,-0.16827,171.03,0.0051627,0.005599,-5.4485e-09,433.58,0.60703,-0.17439,390.08,-0.00040828,0.0,-1.7736e-12,0.0,0.19769,26.383,749.29,-0.0061174,-16.101,1.0,0.0,0.99905,0.0,0.53867,
45,-0.16261,0.03125,0.0069548,3.0574,-0.15571,163.97,0.0060579,0.0065208,-3.3444e-09,413.48,0.69453,-0.16259,360.71,0.00020647,0.0,2.6128e-11,0.0,0.18299,26.465,725.84,-0.0069548,-15.958,0.99997,0.0,0.9991,0.0,0.57539,
46,-0.16313,0.0078125,0.0080647,2.8891,-0.15509,147.56,0.0061872,0.0069301,1.2347e-08,372.05,0.53867,-0.16312,351.66,-0.0002167,0.0,0.0,0.0,0.17944,26.313,658.65,-0.0080647,-16.156,0.99998,0.0,0.99812,0.0,0.65156,
47,-0.18142,0.0078125,0.0062585,3.0319,-0.17526,159.56,0.0056378,0.006101,0.0,397.61,0.57539,-0.18139,383.19,0.00033645,0.0,3.9123e-12,0.0,0.20519,26.034,667.15,-0.0062585,-16.006,0.99995,0.0,0.99938,0.0,0.5418,
